Site	Tree	Fruit	Tree_Lat	Tree_Lon	Foundress_Pollinators	Poll	SO1	SO2	LO1	Het1	Het2	Aepoc	Physo
S70	T70	F1	23.73629	-109.83987	4	138	0	0	0	0	0	1	1
S70	T70	F2	23.73629	-109.83987	3	97	3	0	1	0	0	0	0
S70	T70	F3	23.73629	-109.83987	1	58	3	0	0	0	0	0	0
S70	T70	F4	23.73629	-109.83987	1	39	0	0	5	0	0	0	0
S70	T70	F5	23.73629	-109.83987	1	129	0	0	0	0	0	0	0
S70	T70	F6	23.73629	-109.83987	1	77	0	0	6	0	0	0	2
S70	T70	F7	23.73629	-109.83987	1	74	0	0	0	0	0	2	2
S70	T70	F8	23.73629	-109.83987	1	50	0	0	9	0	0	0	0
S70	T70	F9	23.73629	-109.83987	3	137	0	0	12	0	0	0	0
S70	T70	F10	23.73629	-109.83987	1	60	0	0	4	0	0	0	2
S70	T70	F11	23.73629	-109.83987	3	18	0	0	10	0	0	0	0
S70	T70	F12	23.73629	-109.83987	1	72	0	0	0	0	0	4	0
S70	T70	F13	23.73629	-109.83987	1	72	0	0	0	0	0	0	0
S70	T70	F14	23.73629	-109.83987	1	20	0	0	0	0	0	1	1
S70	T70	F15	23.73629	-109.83987	1	43	0	0	0	0	0	1	0
S70	T201	F1	23.73735	-109.85768	1	87	28	0	53	0	3	0	0
S70	T201	F2	23.73735	-109.85768	1	87	25	0	68	0	2	1	0
S70	T201	F3	23.73735	-109.85768	1	106	0	0	0	0	0	0	0
S70	T201	F4	23.73735	-109.85768	2	180	0	0	0	0	0	0	0
S70	T201	F5	23.73735	-109.85768	1	59	0	0	22	0	3	0	0
S70	T201	F6	23.73735	-109.85768	1	176	0	0	0	0	0	0	0
S70	T201	F7	23.73735	-109.85768	1	88	0	0	16	0	0	0	0
S70	T201	F8	23.73735	-109.85768	2	124	1	15	0	0	0	0	0
S70	T201	F9	23.73735	-109.85768	1	107	0	0	36	0	0	0	0
S70	T201	F10	23.73735	-109.85768	2	124	1	8	0	0	0	0	0
S70	T201	F11	23.73735	-109.85768	2	128	0	0	2	0	0	0	0
S70	T201	F12	23.73735	-109.85768	1	132	5	0	0	0	0	1	1
S70	T201	F13	23.73735	-109.85768	1	53	4	1	66	0	0	1	0
S70	T201	F14	23.73735	-109.85768	1	68	0	0	14	0	0	0	0
S70	T201	F15	23.73735	-109.85768	1	91	0	0	34	0	0	0	0
S70	T201	F16	23.73735	-109.85768	1	164	0	0	0	0	0	0	0
S70	T201	F17	23.73735	-109.85768	1	120	1	0	4	0	0	0	0
S70	T201	F18	23.73735	-109.85768	1	150	0	0	0	0	0	0	0
