Site,Tree,Fruit,Tree_Lat,Tree_Lon,Ruler_Length_mm,Ruler_Width_mm,Ruler_Height_mm
S70,T70,F1,23.73629,-109.83987,15,18,14
S70,T70,F2,23.73629,-109.83987,17,19,15
S70,T70,F3,23.73629,-109.83987,21,21,16
S70,T70,F4,23.73629,-109.83987,NA,NA,NA
S70,T70,F5,23.73629,-109.83987,15,16,14
S70,T70,F6,23.73629,-109.83987,16,16,15
S70,T70,F7,23.73629,-109.83987,15,14,15
S70,T70,F8,23.73629,-109.83987,14,14,12
S70,T70,F9,23.73629,-109.83987,18,16,14
S70,T70,F10,23.73629,-109.83987,12,11,15
S70,T70,F11,23.73629,-109.83987,18,17,15
S70,T70,F12,23.73629,-109.83987,17,18,15
S70,T70,F13,23.73629,-109.83987,15,16,14
S70,T70,F14,23.73629,-109.83987,16,16,16
S70,T70,F15,23.73629,-109.83987,15,17,14
S70,T201,F1,23.73735,-109.85768,15,15,12
S70,T201,F2,23.73735,-109.85768,16,16,14
S70,T201,F3,23.73735,-109.85768,14,15,13
S70,T201,F4,23.73735,-109.85768,17,16,16
S70,T201,F5,23.73735,-109.85768,13,13,12
S70,T201,F6,23.73735,-109.85768,15,16,12
S70,T201,F7,23.73735,-109.85768,13,13,12
S70,T201,F8,23.73735,-109.85768,14,14,13
S70,T201,F9,23.73735,-109.85768,14,14,13
S70,T201,F10,23.73735,-109.85768,12,14,13
S70,T201,F11,23.73735,-109.85768,14,15,14
S70,T201,F12,23.73735,-109.85768,14,14,15
S70,T201,F13,23.73735,-109.85768,13,13,12
S70,T201,F14,23.73735,-109.85768,13,14,12
S70,T201,F15,23.73735,-109.85768,15,17,14
S70,T201,F16,23.73735,-109.85768,14,14,11
S70,T201,F17,23.73735,-109.85768,14,13,12
S70,T201,F18,23.73735,-109.85768,14,14,13
S70,T201,F19,23.73735,-109.85768,12,12,11
S70,T201,F20,23.73735,-109.85768,14,13,12
S70,T201,F21,23.73735,-109.85768,13,14,13
S70,T201,F22,23.73735,-109.85768,15,15,12
S70,T56,F1,23.73893,-109.81664,23,20,21
S70,T56,F2,23.73893,-109.81664,21,18,18
S70,T56,F3,23.73893,-109.81664,20,18,18
S70,T56,F4,23.73893,-109.81664,20,20,18
S70,T56,F5,23.73893,-109.81664,21,19,19
S70,T56,F6,23.73893,-109.81664,21,20,19
S70,T56,F7,23.73893,-109.81664,16,16,14
S70,T56,F8,23.73893,-109.81664,18,16,15
S70,T56,F9,23.73893,-109.81664,19,20,17
S70,T56,F10,23.73893,-109.81664,16,17,14
S70,T56,F11,23.73893,-109.81664,17,16,14
S70,T56,F12,23.73893,-109.81664,18,19,19
S70,T56,F13,23.73893,-109.81664,18,18,15
S70,T56,F14,23.73893,-109.81664,21,18,18
S70,T56,F15,23.73893,-109.81664,19,20,16
S70,T56,F16,23.73893,-109.81664,16,16,14
S70,T56,F17,23.73893,-109.81664,17,16,16
S70,T56,F18,23.73893,-109.81664,16,15,14
S70,T56,F19,23.73893,-109.81664,16,16,15
S70,T8,F1,23.73801,-109.81612,17,16,22
S70,T8,F2,23.73801,-109.81612,NA,NA,NA
S70,T8,F3,23.73801,-109.81612,18,18,22
S70,T8,F4,23.73801,-109.81612,18,16,19
S70,T8,F5,23.73801,-109.81612,15,16,19
S70,T8,F6,23.73801,-109.81612,17,15,20
S70,T8,F7,23.73801,-109.81612,19,19,19
S70,T58,F1,23.73897,-109.81637,17,17,16
S70,T58,F2,23.73897,-109.81637,16,16,15
S70,T58,F3,23.73897,-109.81637,19,19,17
S70,T58,F4,23.73897,-109.81637,18,18,18
S70,T58,F5,23.73897,-109.81637,16,15,15
S70,T58,F6,23.73897,-109.81637,15,16,16
S70,T58,F7,23.73897,-109.81637,14,14,13
S70,T58,F8,23.73897,-109.81637,14,12,12
S70,T58,F9,23.73897,-109.81637,17,17,16
S70,T58,F10,23.73897,-109.81637,16,15,15
S70,T58,F11,23.73897,-109.81637,14,13,14
S70,T58,F12,23.73897,-109.81637,16,15,15
S70,T58,F13,23.73897,-109.81637,13,12,13
S70,T58,F14,23.73897,-109.81637,16,16,17
S70,T58,F15,23.73897,-109.81637,14,14,12
S70,T58,F16,23.73897,-109.81637,12,11,12
S70,T58,F17,23.73897,-109.81637,15,14,14
S70,T58,F18,23.73897,-109.81637,15,14,14
